id,nombre,categoria,precio,esrb,stock,consola
1,The Legend of Zelda Tears of the Kingdom,Aventura,69.99,E10+,11,Nintendo
2,Super Mario Odyssey,Plataformas,59.99,E,10,Nintendo
3,Mario Kart 8 Deluxe,Carreras,59.99,E,15,Nintendo
4,Animal Crossing New Horizons,Simulacion,59.99,E,8,Nintendo
5,Metroid Dread,Accion,59.99,T,6,Nintendo
6,God of War Ragnarok,Accion,69.99,M,7,PS5
7,Spider-Man 2,Accion,69.99,T,9,PS5
8,Horizon Forbidden West,RPG,69.99,T,5,PS5
9,Gran Turismo 7,Carreras,69.99,E,11,PS5
10,Demon's Souls,RPG,69.99,M,4,PS5
11,The Last of Us Part I,Accion,69.99,M,6,PS5
12,Final Fantasy XVI,RPG,69.99,M,8,PS5
13,Call of Duty Modern Warfare III,Shooter,69.99,M,20,XBOX
14,Halo Infinite,Shooter,59.99,T,14,XBOX
15,Forza Horizon 5,Carreras,59.99,E,13,XBOX
16,Gears 5,Shooter,39.99,M,7,XBOX
17,Starfield,RPG,69.99,M,6,XBOX
18,Minecraft,Sandbox,29.99,E10+,25,XBOX
19,Elden Ring,RPG,59.99,M,10,PS5
20,Resident Evil 4 Remake,Terror,59.99,M,9,PS5
21,Street Fighter 6,Peleas,59.99,T,12,PS5
22,Tekken 8,Peleas,69.99,T,8,PS5
23,FIFA 24,Deportes,69.99,E,18,XBOX
24,NBA 2K24,Deportes,69.99,E,16,XBOX
25,Pokemon Scarlet,RPG,59.99,E,14,Nintendo
26,Pokemon Violet,RPG,59.99,E,13,Nintendo
27,Kirby and the Forgotten Land,Plataformas,59.99,E,7,Nintendo
28,Luigi's Mansion 3,Aventura,59.99,E,6,Nintendo
29,Splatoon 3,Shooter,59.99,E10+,9,Nintendo
30,Assassin's Creed Mirage,Accion,59.99,M,5,XBOX
31,Pokopia,Simulacion,69.99,E,20,Nintendo
